This application will process for 5m0s
after 402.888211ms; Alloc 90552; TotalAlloc 90552; Sys 1740800; NumGC 0; HeapAlloc 90552; HeapSys 622592; HeapObjects 439; HeapReleased 0;
after 806.766475ms; Alloc 100144; TotalAlloc 112888; Sys 2134016; NumGC 2; HeapAlloc 100144; HeapSys 557056; HeapObjects 469; HeapReleased 65536;
after 1.20799352s; Alloc 111920; TotalAlloc 131616; Sys 2134016; NumGC 4; HeapAlloc 111920; HeapSys 458752; HeapObjects 495; HeapReleased 49152;
after 1.614364383s; Alloc 132784; TotalAlloc 157896; Sys 3215360; NumGC 6; HeapAlloc 132784; HeapSys 1409024; HeapObjects 545; HeapReleased 32768;
after 2.017831824s; Alloc 132768; TotalAlloc 164320; Sys 3215360; NumGC 8; HeapAlloc 132768; HeapSys 1441792; HeapObjects 559; HeapReleased 1073152;
after 2.421555419s; Alloc 138640; TotalAlloc 176632; Sys 3215360; NumGC 10; HeapAlloc 138640; HeapSys 1376256; HeapObjects 575; HeapReleased 16384;
after 2.82539148s; Alloc 140080; TotalAlloc 184512; Sys 3215360; NumGC 12; HeapAlloc 140080; HeapSys 1376256; HeapObjects 572; HeapReleased 991232;
after 3.232913366s; Alloc 141040; TotalAlloc 191912; Sys 3215360; NumGC 14; HeapAlloc 141040; HeapSys 1376256; HeapObjects 587; HeapReleased 958464;
after 3.635257332s; Alloc 141968; TotalAlloc 199280; Sys 3215360; NumGC 16; HeapAlloc 141968; HeapSys 1376256; HeapObjects 601; HeapReleased 991232;
after 4.038683279s; Alloc 141968; TotalAlloc 204696; Sys 3215360; NumGC 18; HeapAlloc 141968; HeapSys 1376256; HeapObjects 601; HeapReleased 958464;
after 4.446017666s; Alloc 141904; TotalAlloc 212096; Sys 3215360; NumGC 20; HeapAlloc 141904; HeapSys 1376256; HeapObjects 600; HeapReleased 991232;
after 4.853039419s; Alloc 142160; TotalAlloc 217768; Sys 3215360; NumGC 22; HeapAlloc 142160; HeapSys 1376256; HeapObjects 604; HeapReleased 958464;
